flight_issues.flightnum,flight_issues.num_delays,flight_issues.avg_delay,flight_issues.total_delay,flight_issues.num_cancellations
1083,1268,27.2192429022082,34514,35
739,1421,24.283603096410978,34507,30
1225,1169,29.516680923866552,34505,30
1485,1057,32.62819299905393,34488,31
385,1311,26.285278413424866,34460,41
148,1297,26.558211256746336,34446,44
614,1396,24.67048710601719,34440,59
145,1223,28.130008176614883,34403,66
583,1273,27.016496465043204,34392,47
143,1221,28.163800163800165,34388,53
1484,1102,31.169691470054445,34349,48
1033,1231,27.902518277822907,34348,41
1177,1185,28.9831223628692,34345,52
1212,1386,24.773448773448774,34336,33
898,1294,26.517774343122102,34314,38
48,1387,24.714491708723866,34279,51
1230,1147,29.87271142109852,34264,39
892,1183,28.918005071851226,34210,53
1166,1160,29.482758620689655,34200,34
1514,896,38.167410714285715,34198,38
321,1116,30.5752688172043,34122,34
743,1377,24.766884531590414,34104,51
1298,1034,32.963249516441,34084,34
1575,1231,27.68399675060926,34079,32
1270,1340,25.42462686567164,34069,20
1066,1245,27.355020080321285,34057,26
312,1099,30.981801637852595,34049,40
339,1215,28.009876543209877,34032,35
208,1374,24.75254730713246,34010,44
309,1363,24.944974321349964,34000,45
36,1079,31.50602409638554,33995,55
1069,888,38.221846846846844,33941,20
305,1370,24.766423357664234,33930,33
415,1371,24.74762946754194,33929,23
1044,1043,32.52444870565676,33923,53
38,1126,30.10923623445826,33903,46
868,1090,31.053211009174312,33848,33
702,1360,24.854411764705883,33802,38
816,1230,27.475609756097562,33795,58
10,1369,24.676406135865594,33782,40
622,1246,27.1107544141252,33780,35
1583,1072,31.503731343283583,33772,23
566,1076,31.28159851301115,33659,39
456,1310,25.6618320610687,33617,38
187,1392,24.14008620689655,33603,28
705,1399,24.007862759113653,33587,31
137,1342,25.026080476900148,33585,52
1426,1279,26.25879593432369,33585,40
424,1368,24.50950292397661,33529,47
554,1319,25.378316906747536,33474,23
1253,933,35.845659163987136,33444,42
1249,1125,29.692444444444444,33404,36
1431,945,35.31534391534392,33373,13
741,1373,24.294246176256372,33356,33
932,1110,30.03153153153153,33335,19
1434,1398,23.837625178826894,33325,19
745,1029,32.37803692905734,33317,44
884,1218,27.31527093596059,33270,50
403,1133,29.36098852603707,33266,53
1185,1013,32.761105626850934,33187,41
9,1364,24.32991202346041,33186,28
1242,1009,32.87809712586719,33174,45
704,1536,21.578776041666668,33145,34
1299,958,34.592901878914404,33140,64
55,1209,27.411083540115797,33140,38
861,968,34.228305785123965,33133,32
1498,1309,25.304048892284186,33123,20
1205,945,35.0010582010582,33076,58
1517,1015,32.58522167487685,33074,31
509,1329,24.856282919488336,33034,48
1445,1148,28.736062717770036,32989,33
1027,1079,30.559777571825766,32974,49
69,1173,28.098039215686274,32959,22
427,1477,22.308056872037916,32949,35
494,1141,28.83698510078878,32903,33
773,1269,25.92513790386131,32899,33
650,1002,32.83233532934132,32898,42
708,1393,23.61234745154343,32892,58
656,933,35.251875669882104,32890,97
203,1331,24.70473328324568,32882,40
765,1454,22.602475928473176,32864,39
432,1457,22.55525051475635,32863,45
1140,1111,29.555355535553556,32836,52
587,1399,23.461043602573266,32822,30
1287,1171,28.01537147736977,32806,57
1089,1024,32.0166015625,32785,31
1240,1255,26.122709163346613,32784,32
244,1458,22.484224965706446,32782,51
633,1595,20.546708463949845,32772,15
726,1219,26.86546349466776,32749,17
744,1439,22.753995830437805,32743,26
460,1212,27.004125412541253,32729,51
169,1148,28.506968641114984,32726,22
1059,1373,23.831026948288418,32720,20
1450,1352,24.200443786982248,32719,31
795,1044,31.336206896551722,32715,25
602,996,32.83734939759036,32706,41
445,1317,24.816249050873196,32683,30
533,1100,29.707272727272727,32678,46
1233,1160,28.161206896551725,32667,19
1096,1276,25.59717868338558,32662,56
253,1121,29.130240856378233,32655,21
190,1355,24.092988929889298,32646,22
287,1290,25.295348837209303,32631,39
1216,1152,28.31857638888889,32623,14
855,1450,22.46551724137931,32575,30
1408,973,33.44912641315519,32546,24
41,1159,28.07765314926661,32542,63
1618,1098,29.635701275045538,32540,54
405,1348,24.13353115727003,32532,57
676,1092,29.784798534798536,32525,28
1042,1340,24.264179104477613,32514,40
476,1461,22.253251197809718,32512,17
428,1302,24.964669738863286,32504,40
679,1366,23.7891654465593,32496,31
1425,1135,28.62907488986784,32494,43
1470,928,34.984913793103445,32466,24
1421,1154,28.11785095320624,32448,47
311,1152,28.15625,32436,60
825,1161,27.936261843238587,32434,50
1050,1197,27.092731829573935,32430,16
1404,1167,27.774635818337618,32413,48
310,1246,26.008025682182986,32406,28
1146,1025,31.610731707317072,32401,47
